"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"109","7 Mossy Ct, Savannah, GA 31419","$246,000","3","2","1,816","23 mins","41 mins","1996","Has HOA fee: No","0.32 Acres"
"110","10 Goldfinch Ct W, Savannah, GA 31419","$209,900","3","2","1,335","19 mins","43 mins","1985","HOA fee: $39 monthly","$39 monthly"
"111","4623 Skidaway Rd, Savannah, GA 31404","$229,000","4","2","1,603",NA,"57 mins","1950","Has HOA fee: No","0.22 Acres"
"112","8613 E Creighton Pl, Savannah, GA 31406","$179,900","3","2","1,636",NA,"54 mins","1960","Has HOA fee: No","0.22 Acres"
"113","1025 W 40th St, Savannah, GA 31415","$120,000","2","2","1,026",NA,"50 mins","1930","Has HOA fee: No","0.07 Acres"
"114","82 Crosby Dr, Hinesville, GA 31313","$113,500","3","2","1,087","1 hour","16 mins","1995","Appliances: Refrigerator, Range/Oven - Elec","0.25 Acres"
"115","180 Bowers St, Pembroke, GA 31321","$130,000","2","1","988","50 mins","29 mins","1950","Has HOA fee: No","0.28 Acres"
"116","115 Adair St, Savannah, GA 31404","$115,000","2","2","1,150",NA,"57 mins","1930","Has HOA fee: No","0.08 Acres"
"117","2108 Packard Ave, Savannah, GA 31405","$149,000","4","2","1,932","19 mins","49 mins","1960","Has HOA fee: No","0.14 Acres"
"118","4106 Boyd St, Savannah, GA 31405","$100,000","3","1","1,140",NA,"53 mins","1913","Has HOA fee: No","0.15 Acres"
"119","1942 Salisbury Way, Hinesville, GA 31313","$210,000","3","2","1,880","1 hour 3 mins","17 mins","2002","Appliances: Refrigerator, Disposal, Dishwasher, Range/Oven - Elec, Range Hood","No Data"
"120","Buildable plan: Catherine, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","5","3","2,516",NA,NA,"2021",NA,"$25 monthly"
"121","147 Dovetail Xing, Savannah, GA 31419","$224,500","4","2","1,733","21 mins","45 mins","2003","HOA fee: $467 annually","$467 annually"
"122","Buildable plan: Russell, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","3","2","1,300",NA,NA,"2021",NA,"$25 monthly"
"123","215 Caribbean Village Dr, Guyton, GA 31312","$248,990","3","2","1,618","46 mins","1 hour 2 mins","2021","HOA fee: $175 quarterly","$175 quarterly"
"124","7 Del Mar Cir, Savannah, GA 31419","$179,000","3","2","1,484",NA,"48 mins","1967","Has HOA fee: No","1.88 Acres"
"125","1712 E 39th St, Savannah, GA 31404","$225,000","4","3","2,042",NA,"59 mins","1940","Has HOA fee: No","0.19 Acres"
"126","Buildable plan: Anderson, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","4","3","1,810",NA,NA,"2021",NA,"$25 monthly"
"127","2409 Dolphin Dr, Savannah, GA 31406","$180,000","3","2","1,681",NA,"57 mins","1965","Has HOA fee: No","0.16 Acres"
"128","133 Berwick Lakes Blvd, Pooler, GA 31322","$218,000","3","2","2,006","26 mins","44 mins","2000","Has HOA fee: No","0.22 Acres"
"129","1925 Linnhurst Dr, Savannah, GA 31404","$179,300","3","1","864",NA,"59 mins","1968","Has HOA fee: No","0.19 Acres"
"130","2326 Suttle Ct, Hinesville, GA 31313","$147,563","4","2","1,389","1 hour 2 mins","17 mins","1996","Appliances: Refrigerator, Dishwasher, Range/Oven - Elec, Range Hood","No Data"
"131","104 E Whatley St, Pooler, GA 31322","$210,000","3","2","1,824","32 mins","44 mins","1970","Has HOA fee: No","0.27 Acres"
"132","64 Kings Way, Ellabell, GA 31308","$209,900","1","2","1,400","42 mins","42 mins","2007","Services included: None","22,215 sqft"
"133","307 Aberfeldy St, Port Wentworth, GA 31407","$99,900","2","2","1,474","32 mins","57 mins","1954","Has HOA fee: No","0.14 Acres"
"134","624 W 47th St, Savannah, GA 31405","$67,000","2","1","660",NA,"53 mins","1950","Services included: None","No Data"
"135","Buildable plan: Whitaker II, The Columns at Independence North, Hinesville, GA 31313","from ","4","3","1,962",NA,NA,"2021",NA,"$25 monthly"
"136","12216 Bedford Dr, Savannah, GA 31419","$164,700","3","2","1,597","17 mins","47 mins","1964","Has HOA fee: No","0.23 Acres"
"137","702 Fairview Cir, Hinesville, GA 31313","$246,000","4","3","2,298",NA,NA,"2021","HOA fee: $25 monthly","$25 monthly"
"138","34 Quail Forest Dr, Savannah, GA 31419","$144,900","3","2","1,444",NA,"46 mins","1987","Has HOA fee: No","0.15 Acres"
"139","2347 Jurgensen St, Savannah, GA 31404","$130,000","3","2","1,441",NA,"59 mins","1984","Has HOA fee: No","0.15 Acres"
"140","5 Shad Ct, Savannah, GA 31410","$159,000","4","2","--",NA,"1 hour 13 mins","2021","Services included: None","18,295 sqft"
"141","2206 1/2 Iowa St, Savannah, GA 31404","$105,000","3","1","1,050",NA,"1 hour 1 min","1955","Has HOA fee: No","0.06 Acres"
"142","420 Screven Ave, Savannah, GA 31404","$175,000","3","2","1,008",NA,"59 mins","1950","Has HOA fee: No","0.09 Acres"
"143","2106 Biscayne Dr, Savannah, GA 31406","$215,000","4","2","1,380",NA,"55 mins","1964","Has HOA fee: No","0.16 Acres"
"144","1618 Kings Way, Savannah, GA 31406","$230,000","4","3","2,276",NA,"52 mins","1952","Has HOA fee: No","0.20 Acres"
"145","1305 E 57th St, Savannah, GA 31404","$135,000","3","1","999",NA,"56 mins","1958","Has HOA fee: No","0.14 Acres"
"146","1 Judith St PARCEL 1, Pembroke, GA 31321","$239,900","4","3","1,863","49 mins","29 mins","2021","Has HOA fee: No","0.38 Acres"
"147","1312 E 40th St, Savannah, GA 31404","$182,000","3","1","1,057",NA,"57 mins","1940","Has HOA fee: No","0.14 Acres"
"148","1936 Utah St, Savannah, GA 31404","$135,000","2","1","936",NA,"59 mins","1946","Has HOA fee: No","0.12 Acres"
"149","2323 Bona Bella Ave, Savannah, GA 31406","$139,000","3","2","1,555",NA,"57 mins","1962","Has HOA fee: No","0.16 Acres"
"150","Buildable plan: Brandon 2, Richmond Pass, Midway, GA 31320","from ","4","2","1,675",NA,NA,"2021",NA,"$25 monthly"
"151","3204 Hazel St, Savannah, GA 31404","$229,000","4","2","1,634",NA,"59 mins","1989","Has HOA fee: No","0.54 Acres"
"152","Buildable plan: Springfield, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","4","3","2,001",NA,NA,"2021",NA,"$25 monthly"
"153","4019 Campbell St, Savannah, GA 31405","$119,000","3","3","1,352",NA,"50 mins","1945","Has HOA fee: No","0.09 Acres"
"154","108 Tobago Cir, Guyton, GA 31312","$233,990","3","2","1,343",NA,NA,"2021","HOA fee: $175 quarterly","$175 quarterly"
"155","2025 Eppinger St, Savannah, GA 31415","$94,990","2","1","870","22 mins","49 mins","1980","Has HOA fee: No","0.06 Acres"
"156","2310 E 42nd St, Savannah, GA 31404","$179,900","3","1","990",NA,"1 hour","1948","Has HOA fee: No","0.15 Acres"
"157","3 Judith St PARCEL 3, Pembroke, GA 31321","$239,900","4","3","1,863","49 mins","29 mins","2021","Has HOA fee: No","0.32 Acres"
"158","2117 New Mexico St, Savannah, GA 31404","$165,000","2","1","825",NA,"59 mins","1950","Has HOA fee: No","0.14 Acres"
"159","Buildable plan: Palmyra, The Estates at Wilder Pond, Allenhurst, GA 31301","from ","4","3","2,151",NA,NA,"2021",NA,"$25 monthly"
"160","1605 Reynolds St, Savannah, GA 31401","$229,900","3","1","1,149",NA,"54 mins","1900","Services included: None","7,405 sqft"
"161","1107 W 41st St, Savannah, GA 31415","$95,000","3","1","1,008",NA,"50 mins","1965","Has HOA fee: No","0.11 Acres"
"162","1905 Harrison St, Savannah, GA 31404","$160,000","2","1","936",NA,"1 hour","1954","Has HOA fee: No","0.12 Acres"
"163","27 Villas Of Garrard Dr, Savannah, GA 31405","$203,990","3","3","1,473",NA,NA,"2020","HOA fee: $1,440 annually","$1,440 annually"
"164","2318 Lorraine Dr, Savannah, GA 31404","$185,000","3","1","946",NA,"57 mins","1954","Has HOA fee: No","0.18 Acres"
"165","810 Googe St, Savannah, GA 31415","$115,000","2","1","704","22 mins","50 mins","1947","Has HOA fee: No","0.12 Acres"
"166","2103 Utah St, Savannah, GA 31404","$140,000","2","1","1,179",NA,"1 hour","1942","Has HOA fee: No","0.15 Acres"
"167","2008 Linnhurst Dr, Savannah, GA 31404","$169,900","3","1","1,197",NA,"58 mins","1958","Has HOA fee: No","0.16 Acres"
"168","2213 E Gwinnett St, Savannah, GA 31404","$165,000","4","2","1,679",NA,"1 hour","1949","Has HOA fee: No","0.12 Acres"
"169","Buildable plan: Whitaker II, Cherokee Station, Hinesville, GA 31313","from ","4","3","1,962",NA,NA,"2021",NA,"No Data"
"170","1030 Demmond St, Savannah, GA 31415","$165,000","3","2","1,121","24 mins","52 mins","2020","Has HOA fee: No","0.06 Acres"
"171","737 Fairview Cir, Hinesville, GA 31313","$231,700","4","3","1,962",NA,NA,"2021","HOA fee: $300 annually","$300 annually"
"172","Buildable plan: Addison, Richmond Pass, Midway, GA 31320","from ","4","3","1,978",NA,NA,"2021",NA,"$25 monthly"
"173","630 Lee Blvd, Savannah, GA 31405","$185,000","3","2","1,096",NA,"55 mins","1956","Has HOA fee: No","0.19 Acres"
"174","305 Woodley Rd, Savannah, GA 31419","$129,000","3","1","1,323","18 mins","48 mins","1958","Has HOA fee: No","0.21 Acres"
"175","1510 E Henry St, Savannah, GA 31404","$153,900","3","3","1,504",NA,"56 mins","2007","Has HOA fee: No","0.02 Acres"
"176","519 W 60th St, Savannah, GA 31405","$149,900","3","1","1,035",NA,"52 mins","1948","Has HOA fee: No","0.12 Acres"
"177","2010 E 42nd St, Savannah, GA 31404","$135,000","3","1","1,054",NA,"58 mins","1956","Has HOA fee: No","0.14 Acres"
"178","635 Fairview Cir, Hinesville, GA 31313","$225,700","3","3","1,973",NA,NA,"2021","HOA fee: $300 annually","$300 annually"
"179","1405 E 32nd St, Savannah, GA 31404","$165,000","3","1","1,222",NA,"59 mins","1951","Has HOA fee: No","0.14 Acres"
"180","208 Cumming St, Savannah, GA 31415","$70,000","2","1","860","23 mins","51 mins","1960","Services included: None","No Data"
"181","8524 Vining Way, Savannah, GA 31406","$185,000","3","1","1,154",NA,"53 mins","1958","Has HOA fee: No","0.21 Acres"
"182","104 W 76th St, Savannah, GA 31405","$125,000","2","1","850",NA,"51 mins","1945","Has HOA fee: No","0.15 Acres"
"183","2028 E 42nd St, Savannah, GA 31404","$140,000","3","2","1,144",NA,"58 mins","1956","Has HOA fee: No","0.14 Acres"
"184","1014 Carroll St, Savannah, GA 31415","$108,000","3","1","1,380","22 mins","50 mins","1975","Has HOA fee: No","0.12 Acres"
"185","234 Caribbean Village Dr, Guyton, GA 31312","$234,990","3","2","1,343","46 mins","1 hour 2 mins","2021","HOA fee: $175 quarterly","$175 quarterly"
"186","744 Fairview Cir, Hinesville, GA 31313","$205,800","3","3","1,703",NA,NA,"2021","HOA fee: $300 annually","$300 annually"
"187","2308 New York Ave, Savannah, GA 31404","$175,000","3","2","1,287",NA,"1 hour 2 mins","1946","Has HOA fee: No","0.12 Acres"
"188","1506 E Henry St, Savannah, GA 31404","$151,900","3","3","1,504",NA,"56 mins","2007","Has HOA fee: No","0.02 Acres"
"189","2402 Alabama Ave, Savannah, GA 31404","$125,000","2","1","828",NA,"1 hour 2 mins","1948","Has HOA fee: No","0.18 Acres"
"190","803 W 50th St, Savannah, GA 31405","$83,000","3","1","1,136",NA,"52 mins","1956","Has HOA fee: No","0.10 Acres"
"191","1920 Utah St, Savannah, GA 31404","$179,900","2","1","827",NA,"59 mins","1946","Has HOA fee: No","0.14 Acres"
"192","2304 New York Ave, Savannah, GA 31404","$125,000","2","1","792",NA,"1 hour 2 mins","1947","Has HOA fee: No","0.12 Acres"
"193","39 Grove Park Dr #6, Richmond Hill, GA 31324","$248,900","3","3","1,749",NA,NA,"2021","HOA fee: $100 monthly","$100 monthly"
"194","12 Spring Lake Cir, Pt Wentworth, GA 31407","$190,000","3","2","1,355","40 mins","53 mins","2007","HOA fee: $532 annually","$532 annually"
"195","718 Westridge Ct, Hinesville, GA 31313","$115,000","3","2","1,120",NA,"12 mins","1991","Has HOA fee: No","0.45 Acres"
"196","933 Greenbriar Trl, Hinesville, GA 31313","$140,000","3","2","1,330","56 mins","12 mins","1980","Has HOA fee: No","0.18 Acres"
"197","200 Lindsey Dr, Richmond Hill, GA 31324","$179,900","3","2","1,126","41 mins","32 mins","2006","Has HOA fee: No","0.57 Acres"
"198","501 Amsonia Cir, Guyton, GA 31312","$210,000","3","2","1,505","44 mins","59 mins","2005","HOA fee: $700 annually","$700 annually"
"199","7015 State Highway 17 S, Bloomingdale, GA 31302","$225,000","3","1","1,176","39 mins","51 mins","1963","Has HOA fee: No","1.25 Acres"
"200","196 Gloucester Dr, Midway, GA 31320","$174,900","4","2","1,956","42 mins","20 mins","2006","Appliances: Refrigerator, Dishwasher, Range/Oven - Elec, Smoke Detector","6,534 sqft"
"201","196 Gloucester Dr, Midway, GA 31320","$174,900","4","2","1,956","42 mins","20 mins","2006","Appliances: Refrigerator, Dishwasher, Range/Oven - Elec, Smoke Detector","6,534 sqft"
"202","1016 Farr Ct, Hinesville, GA 31313","$135,500","4","2","1,400","57 mins","13 mins","1992","Dining: Dining/Kitchen Combo","No Data"
"203","169 Oak Harvest Rdg, Midway, GA 31320","$180,000","3","2","1,348","42 mins","30 mins","2015","HOA fee: $25 monthly","$25 monthly"
"204","910 Kings Rd, Hinesville, GA 31313","$210,000","3","3","2,296","53 mins","9 mins","1977","Has HOA fee: No","0.81 Acres"
"205","1209 Cypress Fall Cir, Hinesville, GA 31313","$184,500","3","3","1,447","51 mins","8 mins","2018","HOA fee: $25 monthly","$25 monthly"
"206","124 Austin Way, Savannah, GA 31419","$235,000","4","2","1,695","24 mins","40 mins","2011","HOA fee: $478 annually","$478 annually"
"207","80 Joshua Cir, Ellabell, GA 31308","$163,000","3","2","1,309","41 mins","36 mins","2005","HOA fee: $150 annually","$150 annually"
"208","1314 Dieter St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"209","2118 New Mexico St, Savannah, GA 31404","$135,000","3","1","1,007",NA,"59 mins","1948","Has HOA fee: No","0.14 Acres"
"210","1308 Dieter St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"211","2219 Bartlett Dr, Savannah, GA 31404","$145,000","3","1","1,292",NA,"59 mins","1964","Has HOA fee: No","0.17 Acres"
"212","1317 E 57th St, Savannah, GA 31404","$120,000","2","1","792",NA,"56 mins","1954","Has HOA fee: No","0.12 Acres"
"213","2226 New York Ave, Savannah, GA 31404","$179,900","2","1","1,121",NA,"1 hour 1 min","1935","Has HOA fee: No","0.14 Acres"
"214","256 Cumming St, Savannah, GA 31415","$75,000","2","1","875","23 mins","51 mins","1968","Services included: None","2,790 sqft"
"215","1304 Dieter St, Savannah, GA 31404","$126,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"216","1303 Stubbs St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"217","1504 E Henry St, Savannah, GA 31404","$151,900","3","3","1,504",NA,"56 mins","2007","Has HOA fee: No","0.02 Acres"
"218","1312 Dieter St, Savannah, GA 31404","$126,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"219","711 W 46th St, Savannah, GA 31405","$135,000","2","1","851",NA,"52 mins","1950","Has HOA fee: No","0.07 Acres"
"220","1310 Dieter St, Savannah, GA 31404","$128,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
"221","1306 Dieter St, Savannah, GA 31404","$126,900","2","3","1,056",NA,"56 mins","2007","Has HOA fee: No","0.01 Acres"
